MAWFAT_fullCoRE Edges: 0, Vertices: 11,            Beta index:  0.00
XEHFUL01_fullCoRE Edges: 0, Vertices: 6,            Beta index:  0.00
IFEQER_fullCoRE Edges: 0, Vertices: 7,            Beta index:  0.00
YARBAW_fullCoRE Edges: 3, Vertices: 44,            Beta index:  0.07
RAKDAJ_fullCoRE Edges: 161, Vertices: 84,            Beta index:  1.92
VAGBOX_fullCoRE Edges: 0, Vertices: 9,            Beta index:  0.00
VUHNET_fullCoRE Edges: 112, Vertices: 76,            Beta index:  1.47
IJANEN_fullCoRE Edges: 19, Vertices: 34,            Beta index:  0.56
WARFAZ_fullCoRE Edges: 27, Vertices: 56,            Beta index:  0.48
XICVUB_fullCoRE Edges: 65, Vertices: 65,            Beta index:  1.00
IPICOA_fullCoRE Edges: 158, Vertices: 90,            Beta index:  1.76
LUJBAV_fullCoRE Edges: 4, Vertices: 8,            Beta index:  0.50
OSOMIT_fullCoRE Edges: 48, Vertices: 38,            Beta index:  1.26
HUZLIY_fullCoRE Edges: 45, Vertices: 74,            Beta index:  0.61
PETWOC_fullCoRE Edges: 75, Vertices: 39,            Beta index:  1.92
NIKJOH_fullCoRE Edges: 0, Vertices: 5,            Beta index:  0.00
SIPCID_fullCoRE Edges: 0, Vertices: 12,            Beta index:  0.00
QIXNIW_fullCoRE Edges: 2, Vertices: 26,            Beta index:  0.08
RAVFAX_fullCoRE Edges: 16, Vertices: 42,            Beta index:  0.38
CUYVOI_fullCoRE Edges: 26, Vertices: 52,            Beta index:  0.50
KUJTUG_fullCoRE Edges: 2, Vertices: 13,            Beta index:  0.15
YOYQEK_fullCoRE Edges: 47, Vertices: 76,            Beta index:  0.62
ANENIR_fullCoRE Edges: 17, Vertices: 21,            Beta index:  0.81
REJLAU_fullCoRE Edges: 71, Vertices: 73,            Beta index:  0.97
FUSMUC_fullCoRE Edges: 37, Vertices: 76,            Beta index:  0.49
YAGJOI_fullCoRE Edges: 32, Vertices: 58,            Beta index:  0.55
PELRIJ_fullCoRE Edges: 51, Vertices: 88,            Beta index:  0.58
ZAXQOG_fullCoRE Edges: 67, Vertices: 98,            Beta index:  0.68
MOXPAR_fullCoRE Edges: 0, Vertices: 23,            Beta index:  0.00
LEMHAM_fullCoRE Edges: 67, Vertices: 88,            Beta index:  0.76
COYCEZ_fullCoRE Edges: 171, Vertices: 85,            Beta index:  2.01
WEXQOF01_fullCoRE Edges: 61, Vertices: 46,            Beta index:  1.33
MABKEG_fullCoRE Edges: 220, Vertices: 67,            Beta index:  3.28
SIZJUH_fullCoRE Edges: 130, Vertices: 55,            Beta index:  2.36
JIZJAF_fullCoRE Edges: 50, Vertices: 83,            Beta index:  0.60
KUQWIE_fullCoRE Edges: 0, Vertices: 13,            Beta index:  0.00
WUPZUE_fullCoRE Edges: 67, Vertices: 67,            Beta index:  1.00
ZETPUL_fullCoRE Edges: 15, Vertices: 34,            Beta index:  0.44
YARYEV_fullCoRE Edges: 143, Vertices: 85,            Beta index:  1.68
SOJDEB_fullCoRE Edges: 119, Vertices: 93,            Beta index:  1.28
WOYJOL_fullCoRE Edges: 113, Vertices: 96,            Beta index:  1.18
ABEXEM_fullCoRE Edges: 0, Vertices: 7,            Beta index:  0.00
ROYJUM_fullCoRE Edges: 114, Vertices: 81,            Beta index:  1.41
CURZAR_fullCoRE Edges: 220, Vertices: 81,            Beta index:  2.72
YOMBAE_fullCoRE Edges: 9, Vertices: 28,            Beta index:  0.32
OSURAX_fullCoRE Edges: 0, Vertices: 25,            Beta index:  0.00
TEHWEK_fullCoRE Edges: 151, Vertices: 91,            Beta index:  1.66
MUTVUT_fullCoRE Edges: 0, Vertices: 58,            Beta index:  0.00
RAVFEB_fullCoRE Edges: 0, Vertices: 6,            Beta index:  0.00
SIZGIS_fullCoRE Edges: 154, Vertices: 99,            Beta index:  1.56
TONQOD_fullCoRE Edges: 87, Vertices: 59,            Beta index:  1.47
ACAJOF_fullCoRE Edges: 78, Vertices: 75,            Beta index:  1.04
CEGWER_fullCoRE Edges: 28, Vertices: 34,            Beta index:  0.82
XANMUX01_fullCoRE Edges: 165, Vertices: 96,            Beta index:  1.72
SANHUN_fullCoRE Edges: 0, Vertices: 7,            Beta index:  0.00
